"Código","Unidade Territorial","UF","Referência","Valor repassado às pessoas com deficiência (PCD) via Benefício de Prestação Continuada (BPC) por município pagador"
"310080","AGUANIL","MG","10/2018","24804"
"310080","AGUANIL","MG","09/2018","24804"
"310080","AGUANIL","MG","08/2018","24804"
"310080","AGUANIL","MG","07/2018","24804"
"310080","AGUANIL","MG","06/2018","25758.00"
"310080","AGUANIL","MG","05/2018","25758"
"310080","AGUANIL","MG","04/2018","25758"
"310080","AGUANIL","MG","12/2019","26946"
"310080","AGUANIL","MG","03/2018","25758"
"310080","AGUANIL","MG","02/2018","26712"
"310080","AGUANIL","MG","01/2018","25758"
"310080","AGUANIL","MG","11/2019","25952.89"
"310080","AGUANIL","MG","09/2021","29700"
"310080","AGUANIL","MG","11/2021","31901.35"
"310080","AGUANIL","MG","04/2020","26125"
"310080","AGUANIL","MG","02/2020","26125"
"310080","AGUANIL","MG","05/2020","27170"
"310080","AGUANIL","MG","06/2020","26125.00"
"310080","AGUANIL","MG","07/2020","26125"
"310080","AGUANIL","MG","08/2020","26125"
"310080","AGUANIL","MG","09/2020","26125"
"310080","AGUANIL","MG","10/2020","26125"
"310080","AGUANIL","MG","11/2020","27171.79"
"310080","AGUANIL","MG","12/2020","25080"
"310080","AGUANIL","MG","01/2021","26400"
"310080","AGUANIL","MG","02/2021","26400"
"310080","AGUANIL","MG","03/2021","27500"
"310080","AGUANIL","MG","04/2021","27500"
"310080","AGUANIL","MG","05/2021","28600"
"310080","AGUANIL","MG","06/2021","28600"
"310080","AGUANIL","MG","07/2021","28600"
"310080","AGUANIL","MG","01/2020","27014"
"310080","AGUANIL","MG","10/2019","23952"
"310080","AGUANIL","MG","08/2021","29700"
"310080","AGUANIL","MG","09/2019","23952"
"310080","AGUANIL","MG","08/2019","23952"
"310080","AGUANIL","MG","12/2021","30800"
"310080","AGUANIL","MG","10/2021","31900"
"310080","AGUANIL","MG","07/2019","23952"
"310090","ÁGUAS FORMOSAS","MG","02/2018","471754.68"
"310090","ÁGUAS FORMOSAS","MG","06/2019","526945.6"
"310090","ÁGUAS FORMOSAS","MG","05/2019","525947.6"
"310090","ÁGUAS FORMOSAS","MG","12/2019","518962"
"310090","ÁGUAS FORMOSAS","MG","04/2019","520957.6"
"310090","ÁGUAS FORMOSAS","MG","03/2019","518961.6"
"310090","ÁGUAS FORMOSAS","MG","02/2019","516965.6"
"310090","ÁGUAS FORMOSAS","MG","01/2019","516966.56"
"310090","ÁGUAS FORMOSAS","MG","12/2018","487304.88"
"310090","ÁGUAS FORMOSAS","MG","11/2018","491072.06"
"310090","ÁGUAS FORMOSAS","MG","10/2018","490166.88"
"310090","ÁGUAS FORMOSAS","MG","09/2018","488258.88"
"310090","ÁGUAS FORMOSAS","MG","08/2018","489212.88"
"310090","ÁGUAS FORMOSAS","MG","07/2018","490166.88"
"310090","ÁGUAS FORMOSAS","MG","06/2018","488258.88"
"310090","ÁGUAS FORMOSAS","MG","05/2018","482331.56"
"310090","ÁGUAS FORMOSAS","MG","04/2018","480137.54"
"310090","ÁGUAS FORMOSAS","MG","03/2018","474616.68"
"310090","ÁGUAS FORMOSAS","MG","01/2018","471754.68"
"310090","ÁGUAS FORMOSAS","MG","07/2019","522953.6"
"310090","ÁGUAS FORMOSAS","MG","08/2019","518961.6"
"310090","ÁGUAS FORMOSAS","MG","09/2019","520957.6"
"310090","ÁGUAS FORMOSAS","MG","09/2020","556987"
"310090","ÁGUAS FORMOSAS","MG","10/2019","523951.6"
"310090","ÁGUAS FORMOSAS","MG","11/2019","525013.2"
"310090","ÁGUAS FORMOSAS","MG","01/2020","543399.8"
"310090","ÁGUAS FORMOSAS","MG","02/2020","551762"
"310090","ÁGUAS FORMOSAS","MG","03/2020","553852"
"310090","ÁGUAS FORMOSAS","MG","04/2020","556987"
"310090","ÁGUAS FORMOSAS","MG","05/2020","551762"
"310090","ÁGUAS FORMOSAS","MG","06/2020","550717.00"
"310090","ÁGUAS FORMOSAS","MG","07/2020","550717"
"310090","ÁGUAS FORMOSAS","MG","08/2020","554897"
"310090","ÁGUAS FORMOSAS","MG","10/2020","556987"
"310090","ÁGUAS FORMOSAS","MG","11/2020","558092.44"
"310090","ÁGUAS FORMOSAS","MG","12/2020","555942"
"310090","ÁGUAS FORMOSAS","MG","01/2021","583000"
"310090","ÁGUAS FORMOSAS","MG","02/2021","581900"
"310090","ÁGUAS FORMOSAS","MG","03/2021","588500"
"310090","ÁGUAS FORMOSAS","MG","04/2021","598400"
"310090","ÁGUAS FORMOSAS","MG","05/2021","607200"
"310090","ÁGUAS FORMOSAS","MG","06/2021","609400"
"310090","ÁGUAS FORMOSAS","MG","07/2021","609400"
"310090","ÁGUAS FORMOSAS","MG","08/2021","619300"
"310090","ÁGUAS FORMOSAS","MG","09/2021","613800"
"310090","ÁGUAS FORMOSAS","MG","10/2021","610500"
"310090","ÁGUAS FORMOSAS","MG","11/2021","608355.56"
"310090","ÁGUAS FORMOSAS","MG","12/2021","613800.8"
"310100","ÁGUAS VERMELHAS","MG","10/2021","242000"
"310100","ÁGUAS VERMELHAS","MG","01/2018","210834"
"310100","ÁGUAS VERMELHAS","MG","02/2018","211788"
"310100","ÁGUAS VERMELHAS","MG","03/2018","212742"
"310100","ÁGUAS VERMELHAS","MG","04/2018","213696"
"310100","ÁGUAS VERMELHAS","MG","05/2018","215604"
"310100","ÁGUAS VERMELHAS","MG","06/2018","217512.00"
"310100","ÁGUAS VERMELHAS","MG","07/2018","217512"
"310100","ÁGUAS VERMELHAS","MG","08/2018","215604"
"310100","ÁGUAS VERMELHAS","MG","09/2018","221328"
"310100","ÁGUAS VERMELHAS","MG","10/2018","221328"
"310100","ÁGUAS VERMELHAS","MG","11/2018","223226.31"
"310100","ÁGUAS VERMELHAS","MG","11/2021","240953.44"
"310100","ÁGUAS VERMELHAS","MG","12/2018","223236"
"310100","ÁGUAS VERMELHAS","MG","01/2019","231536"
"310100","ÁGUAS VERMELHAS","MG","02/2019","235528"
"310100","ÁGUAS VERMELHAS","MG","03/2019","239520"
"310100","ÁGUAS VERMELHAS","MG","04/2019","238522"
"310100","ÁGUAS VERMELHAS","MG","05/2019","240518"
"310100","ÁGUAS VERMELHAS","MG","06/2019","239520"
"310100","ÁGUAS VERMELHAS","MG","07/2019","235528"
"310100","ÁGUAS VERMELHAS","MG","08/2019","233532"
"310100","ÁGUAS VERMELHAS","MG","12/2019","228542"
"310100","ÁGUAS VERMELHAS","MG","09/2019","230538"
"310100","ÁGUAS VERMELHAS","MG","10/2019","232534"
"310100","ÁGUAS VERMELHAS","MG","11/2019","230613.14"
"310100","ÁGUAS VERMELHAS","MG","01/2020","233775"
"310100","ÁGUAS VERMELHAS","MG","02/2020","235125"
"310100","ÁGUAS VERMELHAS","MG","03/2020","230945"
"310100","ÁGUAS VERMELHAS","MG","04/2020","233035"
"310100","ÁGUAS VERMELHAS","MG","05/2020","233035"
"310100","ÁGUAS VERMELHAS","MG","06/2020","231990.00"
"310100","ÁGUAS VERMELHAS","MG","07/2020","233035"
"310100","ÁGUAS VERMELHAS","MG","08/2020","233035"
"310100","ÁGUAS VERMELHAS","MG","09/2020","234080"
"310100","ÁGUAS VERMELHAS","MG","10/2020","233035"
"310100","ÁGUAS VERMELHAS","MG","11/2020","234147.42"
"310100","ÁGUAS VERMELHAS","MG","12/2020","233035"
"310100","ÁGUAS VERMELHAS","MG","01/2021","244200"
"310100","ÁGUAS VERMELHAS","MG","02/2021","246400"
"310100","ÁGUAS VERMELHAS","MG","03/2021","245300"
"310100","ÁGUAS VERMELHAS","MG","04/2021","247500"
"310100","ÁGUAS VERMELHAS","MG","05/2021","246400"
"310100","ÁGUAS VERMELHAS","MG","06/2021","243100"
"310100","ÁGUAS VERMELHAS","MG","12/2021","242000"
"310100","ÁGUAS VERMELHAS","MG","07/2021","243100"
"310100","ÁGUAS VERMELHAS","MG","08/2021","243100"
"310100","ÁGUAS VERMELHAS","MG","09/2021","244200"
"310110","AIMORÉS","MG","03/2020","404415"
"310110","AIMORÉS","MG","12/2019","393212"
"310110","AIMORÉS","MG","01/2018","371979.1"
"310110","AIMORÉS","MG","02/2018","372933.1"
"310110","AIMORÉS","MG","03/2018","371025.1"
"310110","AIMORÉS","MG","04/2018","369784.9"
