Coluna;IBGE Setor
Município-Minas Gerais;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total
311430:MG-CARMO DO PARANAIBA;75788,2999999933;1471221,35999998;0;222250,120000017;3168391,83999999;2208032,77999999;3278738,22999996;2098773,88999998;12523196,5199999
311440:MG-CARMO DO RIO CLARO;68257,3000000101;654342,779999985;0;59086,0999999996;1477942,18000004;1627923,24000003;1842759,68000004;1647884,12999998;7378195,41000008
311450:MG-CARMOPOLIS DE MINAS;7536,75;1968659,99000002;182714,819999995;46446,4599999972;1502901,77000006;1685440,24999998;1659753,54;398498,340000003;7451951,92000005
311455:MG-CARNEIRINHO;0;2520254,12000002;0;0;315267,750000012;357363,699999994;1708004,84000002;969551,079999985;5870441,49000002
311460:MG-CARRANCAS;0;85612,7399999993;0;11733,2300000004;136421,169999992;241850,299999986;821148,590000015;303927,229999992;1600693,25999998
311470:MG-CARVALHOPOLIS;0;87736,2500000009;0;1900;27362,5100000016;42289,5299999993;550328,369999988;68537,1500000069;778153,809999997
311480:MG-CARVALHOS;0;112942,299999999;5598,8900000006;3042,75;168236,129999998;85716,0600000019;542836,699999988;62157,969999996;980530,799999984
311490:MG-CASA GRANDE;0;6233,80999999866;0;0;31828,7200000072;16315,3600000031;387658,01000005;68353,2400000002;510389,140000059
311500:MG-CASCALHO RICO;2400;68912,2399999946;0;0;37567,7300000042;42619,7599999961;569734,259999964;508574,619999994;1229808,60999995
311510:MG-CASSIA;41921,8200000022;535598,960000002;0;61894,6699999999;1015749,30000005;1835254,42999996;1502461,10999999;910375,349999986;5903255,63999999
311520:MG-CONCEICAO DA BARRA DE MINAS;9040,12000000104;0;0;0;95246,9600000046;69143,1199999973;457566,019999995;37702,4600000028;668698,680000001
311530:MG-CATAGUASES;161539,309999994;7029463,83999999;7490394,19000007;941878,239999961;4958081,88999993;12627560,8599999;4577865,52999999;395982,820000001;38182766,6799999
