"Código","Unidade Territorial","UF","Referência","Valor repassado aos idosos via Benefício de Prestação Continuada (BPC) por município pagador"
"310090","ÁGUAS FORMOSAS","MG","02/2020","498466"
"310090","ÁGUAS FORMOSAS","MG","03/2020","502646"
"310090","ÁGUAS FORMOSAS","MG","04/2020","507871"
"310090","ÁGUAS FORMOSAS","MG","05/2020","516231"
"310090","ÁGUAS FORMOSAS","MG","06/2020","511006.00"
"310090","ÁGUAS FORMOSAS","MG","07/2020","509961"
"310090","ÁGUAS FORMOSAS","MG","08/2020","514141"
"310090","ÁGUAS FORMOSAS","MG","10/2020","513096"
"310090","ÁGUAS FORMOSAS","MG","11/2020","514201.27"
"310090","ÁGUAS FORMOSAS","MG","12/2020","506826"
"310090","ÁGUAS FORMOSAS","MG","01/2021","532400"
"310090","ÁGUAS FORMOSAS","MG","02/2021","529100"
"310090","ÁGUAS FORMOSAS","MG","03/2021","534600"
"310090","ÁGUAS FORMOSAS","MG","04/2021","535700.18"
"310090","ÁGUAS FORMOSAS","MG","05/2021","536800"
"310090","ÁGUAS FORMOSAS","MG","06/2021","537900"
"310090","ÁGUAS FORMOSAS","MG","07/2021","540100"
"310090","ÁGUAS FORMOSAS","MG","08/2021","542300"
"310090","ÁGUAS FORMOSAS","MG","09/2021","541200"
"310090","ÁGUAS FORMOSAS","MG","10/2021","539000"
"310090","ÁGUAS FORMOSAS","MG","11/2021","536858.31"
"310090","ÁGUAS FORMOSAS","MG","09/2020","513096"
"310100","ÁGUAS VERMELHAS","MG","11/2019","70878.12"
"310100","ÁGUAS VERMELHAS","MG","01/2018","71550"
"310100","ÁGUAS VERMELHAS","MG","02/2018","70596"
"310100","ÁGUAS VERMELHAS","MG","03/2018","71550"
"310100","ÁGUAS VERMELHAS","MG","04/2018","70596"
"310100","ÁGUAS VERMELHAS","MG","05/2018","69642"
"310100","ÁGUAS VERMELHAS","MG","06/2018","67734.00"
"310100","ÁGUAS VERMELHAS","MG","07/2018","66780"
"310100","ÁGUAS VERMELHAS","MG","08/2018","66780"
"310100","ÁGUAS VERMELHAS","MG","09/2018","68688"
"310100","ÁGUAS VERMELHAS","MG","10/2018","71550"
"310100","ÁGUAS VERMELHAS","MG","11/2018","70590.26"
"310100","ÁGUAS VERMELHAS","MG","12/2018","68688"
"310100","ÁGUAS VERMELHAS","MG","01/2019","71856"
"310100","ÁGUAS VERMELHAS","MG","02/2019","72854"
"310100","ÁGUAS VERMELHAS","MG","03/2019","71856"
"310100","ÁGUAS VERMELHAS","MG","04/2019","68862"
"310100","ÁGUAS VERMELHAS","MG","05/2019","67864"
"310100","ÁGUAS VERMELHAS","MG","06/2019","67864"
"310100","ÁGUAS VERMELHAS","MG","07/2019","68862"
"310100","ÁGUAS VERMELHAS","MG","08/2019","69860"
"310100","ÁGUAS VERMELHAS","MG","09/2019","69860"
"310100","ÁGUAS VERMELHAS","MG","10/2019","69860"
"310100","ÁGUAS VERMELHAS","MG","12/2019","71856"
"310100","ÁGUAS VERMELHAS","MG","01/2020","75847"
"310100","ÁGUAS VERMELHAS","MG","02/2020","77330"
"310100","ÁGUAS VERMELHAS","MG","03/2020","79420"
"310100","ÁGUAS VERMELHAS","MG","04/2020","81510"
"310100","ÁGUAS VERMELHAS","MG","05/2020","81510"
"310100","ÁGUAS VERMELHAS","MG","06/2020","84645.00"
"310100","ÁGUAS VERMELHAS","MG","07/2020","86735"
"310100","ÁGUAS VERMELHAS","MG","08/2020","87780"
"310100","ÁGUAS VERMELHAS","MG","09/2020","86735"
"310100","ÁGUAS VERMELHAS","MG","10/2020","85690"
"310100","ÁGUAS VERMELHAS","MG","11/2020","85711.74"
"310100","ÁGUAS VERMELHAS","MG","12/2020","88825"
"310100","ÁGUAS VERMELHAS","MG","01/2021","92400"
"310100","ÁGUAS VERMELHAS","MG","02/2021","94600"
"310100","ÁGUAS VERMELHAS","MG","03/2021","93500"
"310100","ÁGUAS VERMELHAS","MG","04/2021","94600"
"310100","ÁGUAS VERMELHAS","MG","05/2021","95700"
"310100","ÁGUAS VERMELHAS","MG","12/2021","102300"
"310100","ÁGUAS VERMELHAS","MG","06/2021","96800"
"310100","ÁGUAS VERMELHAS","MG","07/2021","99000"
"310100","ÁGUAS VERMELHAS","MG","08/2021","95700"
"310100","ÁGUAS VERMELHAS","MG","09/2021","100100"
"310100","ÁGUAS VERMELHAS","MG","10/2021","97900"
"310100","ÁGUAS VERMELHAS","MG","11/2021","99018.88"
